bioguideId,last_name,first_name,party,state,chamber,chamber_id
G000289,Goodlatte,Robert,R,VA,House,1
B000013,Bachus,Spencer,R,AL,House,1
B001257,Bilirakis,Gus,R,FL,House,1
B001243,Blackburn,Marsha,R,TN,House,1
B001255,Boustany,Charles,R,LA,House,1
B001260,Buchanan,Vern,R,FL,House,1
C000266,Chabot,Steve,R,OH,House,1
C001076,Chaffetz,Jason,R,UT,House,1
C001077,Coffman,Mike,R,CO,House,1
C001093,Collins,Doug,R,GA,House,1
C001062,Conaway,K.,R,TX,House,1
C001087,Crawford,Eric,R,AR,House,1
C001048,Culberson,John,R,TX,House,1
D000615,Duncan,Jeff,R,SC,House,1
D000533,Duncan,John,R,TN,House,1
F000448,Franks,Trent,R,AZ,House,1
G000548,Garrett,Scott,R,NJ,House,1
G000549,Gerlach,Jim,R,PA,House,1
G000568,Griffith,H.,R,VA,House,1
H001058,Huizenga,Bill,R,MI,House,1
H001059,Hultgren,Randy,R,IL,House,1
H001060,Hurt,Robert,R,VA,House,1
K000362,King,Steve,R,IA,House,1
L000573,Labrador,Raul,R,ID,House,1
L000564,Lamborn,Doug,R,CO,House,1
L000567,Lance,Leonard,R,NJ,House,1
L000569,Luetkemeyer,Blaine,R,MO,House,1
M001179,Marino,Tom,R,PA,House,1
M001150,Miller,Candice,R,MI,House,1
M001144,Miller,Jeff,R,FL,House,1
M001182,Mulvaney,Mick,R,SC,House,1
N000185,Nugent,Richard,R,FL,House,1
O000168,Olson,Pete,R,TX,House,1
P000592,Poe,Ted,R,TX,House,1
P000599,Posey,Bill,R,FL,House,1
M001159,Mcmorris Rodgers,Cathy,R,WA,House,1
R000582,Roe,David,R,TN,House,1
R000580,Roskam,Peter,R,IL,House,1
S000583,Smith,Lamar,R,TX,House,1
S000244,Sensenbrenner,F.,R,WI,House,1
W000798,Walberg,Tim,R,MI,House,1
W000796,Westmoreland,Lynn,R,GA,House,1
W000795,Wilson,Joe,R,SC,House,1
D000604,Dent,Charles,R,PA,House,1
P000601,Palazzo,Steven,R,MS,House,1
M001180,Mckinley,David,R,WV,House,1
P000588,Pearce,Stevan,R,NM,House,1
G000563,Gibbs,Bob,R,OH,House,1
B001262,Broun,Paul,R,GA,House,1
B001282,Barr,Andy,R,KY,House,1
B001248,Burgess,Michael,R,TX,House,1
F000458,Fincher,Stephen,R,TN,House,1
G000566,Gowdy,Trey,R,SC,House,1
G000558,Guthrie,Brett,R,KY,House,1
H000067,Hall,Ralph,R,TX,House,1
H001065,Holding,George,R,NC,House,1
M001187,Meadows,Mark,R,NC,House,1
U000031,Upton,Fred,R,MI,House,1
W000804,Wittman,Robert,R,VA,House,1
B001271,Benishek,Dan,R,MI,House,1
B001275,Bucshon,Larry,R,IN,House,1
C000071,Camp,Dave,R,MI,House,1
D000621,Desantis,Ron,R,FL,House,1
F000461,Flores,Bill,R,TX,House,1
F000445,Forbes,J.,R,VA,House,1
G000562,Gardner,Cory,R,CO,House,1
G000560,Graves,Tom,R,GA,House,1
H001053,Hartzler,Vicky,R,MO,House,1
H001036,Hensarling,Jeb,R,TX,House,1
I000056,Issa,Darrell,R,CA,House,1
J000289,Jordan,Jim,R,OH,House,1
K000363,Kline,John,R,MN,House,1
L000576,Long,Billy,R,MO,House,1
M001157,Mccaul,Michael,R,TX,House,1
M001190,Mullin,Markwayne,R,OK,House,1
R000587,Ribble,Reid,R,WI,House,1
R000592,Rokita,Todd,R,IN,House,1
R000593,Ross,Dennis,R,FL,House,1
R000487,Royce,Ed,R,CA,House,1
S001176,Scalise,Steve,R,LA,House,1
W000814,Weber,Randy,R,TX,House,1
P000606,Pittenger,Robert,R,NC,House,1
W000815,Wenstrup,Brad,R,OH,House,1
L000491,Lucas,Frank,R,OK,House,1
B001280,Bentivolio,Kerry,R,MI,House,1
S000051,Sanford,Mark,R,SC,House,1
S001195,Smith,Jason,R,MO,House,1
M001151,Murphy,Tim,R,PA,House,1
G000550,Gingrey,Phil,R,GA,House,1
H001067,Hudson,Richard,R,NC,House,1
S000250,Sessions,Pete,R,TX,House,1
P000602,Pompeo,Mike,R,KS,House,1
S001183,Schweikert,David,R,AZ,House,1
M000725,Miller,George,D,CA,House,1
J000174,Johnson,Sam,R,TX,House,1
B000287,Becerra,Xavier,D,CA,House,1
C001053,Cole,Tom,R,OK,House,1
B001283,Bridenstine,Jim,R,OK,House,1
M001184,Massie,Thomas,R,KY,House,1
W000810,Woodall,Rob,R,GA,House,1
H001052,Harris,Andy,R,MD,House,1
Y000065,Yoho,Ted,R,FL,House,1
T000238,Thornberry,William,R,TX,House,1
S000018,Salmon,Matt,R,AZ,House,1
S001186,Southerland,Steve,R,FL,House,1
C001045,Crenshaw,Ander,R,FL,House,1
B000911,Brown,Corrine,D,FL,House,1
M000689,Mica,John,R,FL,House,1
G000556,Grayson,Alan,D,FL,House,1
W000806,Webster,Daniel,R,FL,House,1
C001066,Castor,Kathy,D,FL,House,1
R000583,Rooney,Thomas,R,FL,House,1
M001191,Murphy,Patrick,D,FL,House,1
R000596,Radel,Trey,R,FL,House,1
H000324,Hastings,Alcee,D,FL,House,1
D000610,Deutch,Theodore,D,FL,House,1
F000462,Frankel,Lois,D,FL,House,1
W000797,Wasserman Schultz,Debbie,D,FL,House,1
W000808,Wilson,Frederica,D,FL,House,1
D000600,Diaz-Balart,Mario,R,FL,House,1
G000573,Garcia,Joe,D,FL,House,1
R000435,Ros-Lehtinen,Ileana,R,FL,House,1
P000596,Pierluisi,Pedro,D,PR,House,1
G000410,Green,Gene,D,TX,House,1
B001289,Byrne,Bradley,R,AL,House,1
V000132,Vela,Filemon,D,TX,House,1
R000395,Rogers,Harold,R,KY,House,1
Y000062,Yarmuth,John,D,KY,House,1
L000551,Lee,Barbara,D,CA,House,1
S001168,Sarbanes,John,D,MD,House,1
C001068,Cohen,Steve,D,TN,House,1
H001051,Hanna,Richard,R,NY,House,1
D000616,Desjarlais,Scott,R,TN,House,1
B001290,Brat,Dave,R,VA,House,1
E000179,Engel,Eliot,D,NY,House,1
T000459,Terry,Lee,R,NE,House,1
C001095,Cotton,Tom,R,AR,House,1
L000111,Latham,Tom,R,IA,House,1
G000377,Granger,Kay,R,TX,House,1
N000186,Nunnelee,Alan,R,MS,House,1
L000575,Lankford,James,R,OK,House,1
B001250,Bishop,Rob,R,UT,House,1
H001057,Huelskamp,Tim,R,KS,House,1
F000460,Farenthold,Blake,R,TX,House,1
S001189,Scott,Austin,R,GA,House,1
S001175,Speier,Jackie,D,CA,House,1
B001279,Barber,Ron,D,AZ,House,1
B001270,Bass,Karen,D,CA,House,1
B001281,Beatty,Joyce,D,OH,House,1
B001242,Bishop,Timothy,D,NY,House,1
H001064,Heck,Denny,D,WA,House,1
C001101,Clark,Katherine,D,MA,House,1
B000574,Blumenauer,Earl,D,OR,House,1
B001278,Bonamici,Suzanne,D,OR,House,1
B001259,Braley,Bruce,D,IA,House,1
B001285,Brownley,Julia,D,CA,House,1
C001097,Cardenas,Tony,D,CA,House,1
C001083,Carney,John,D,DE,House,1
C001090,Cartwright,Matt,D,PA,House,1
C001080,Chu,Judy,D,CA,House,1
C001084,Cicilline,David,D,RI,House,1
C001049,Clay,Wm.,D,MO,House,1
C001078,Connolly,Gerald,D,VA,House,1
C000714,Conyers,John,D,MI,House,1
C000984,Cummings,Elijah,D,MD,House,1
D000598,Davis,Susan,D,CA,House,1
D000191,Defazio,Peter,D,OR,House,1
D000197,Degette,Diana,D,CO,House,1
D000620,Delaney,John,D,MD,House,1
D000216,Delauro,Rosa,D,CT,House,1
D000355,Dingell,John,D,MI,House,1
D000399,Doggett,Lloyd,D,TX,House,1
E000290,Edwards,Donna,D,MD,House,1
E000288,Ellison,Keith,D,MN,House,1
E000215,Eshoo,Anna,D,CA,House,1
F000030,Farr,Sam,D,CA,House,1
G000559,Garamendi,John,D,CA,House,1
G000551,Grijalva,Raul,D,AZ,House,1
H001063,Hahn,Janice,D,CA,House,1
H001038,Higgins,Brian,D,NY,House,1
H001047,Himes,James,D,CT,House,1
H001032,Holt,Rush,D,NJ,House,1
H001034,Honda,Michael,D,CA,House,1
H000874,Hoyer,Steny,D,MD,House,1
H001068,Huffman,Jared,D,CA,House,1
I000057,Israel,Steve,D,NY,House,1
J000288,Johnson,Henry,D,GA,House,1
K000379,Kennedy,Joseph,D,MA,House,1
K000380,Kildee,Daniel,D,MI,House,1
K000188,Kind,Ron,D,WI,House,1
L000559,Langevin,James,D,RI,House,1
L000263,Levin,Sander,D,MI,House,1
L000579,Lowenthal,Alan,D,CA,House,1
L000580,Lujan Grisham,Michelle,D,NM,House,1
M000087,Maloney,Carolyn,D,NY,House,1
M001143,Mccollum,Betty,D,MN,House,1
M000404,Mcdermott,Jim,D,WA,House,1
M000312,Mcgovern,James,D,MA,House,1
M001149,Michaud,Michael,D,ME,House,1
M001160,Moore,Gwen,D,WI,House,1
M000933,Moran,James,D,VA,House,1
N000179,Napolitano,Grace,D,CA,House,1
N000127,Nolan,Richard,D,MN,House,1
N000147,Norton,Eleanor,D,DC,House,1
P000608,Peters,Scott,D,CA,House,1
P000597,Pingree,Chellie,D,ME,House,1
P000607,Pocan,Mark,D,WI,House,1
R000486,Roybal-Allard,Lucille,D,CA,House,1
R000576,Ruppersberger,C. A.,D,MD,House,1
S001156,Sanchez,Linda,D,CA,House,1
S001145,Schakowsky,Janice,D,IL,House,1
S001150,Schiff,Adam,D,CA,House,1
S000185,Scott,Robert,D,VA,House,1
S001170,Shea-Porter,Carol,D,NH,House,1
S000344,Sherman,Brad,D,CA,House,1
S001165,Sires,Albio,D,NJ,House,1
S000480,Slaughter,Louise,D,NY,House,1
S000510,Smith,Adam,D,WA,House,1
S001193,Swalwell,Eric,D,CA,House,1
T000472,Takano,Mark,D,CA,House,1
T000460,Thompson,Mike,D,CA,House,1
T000266,Tierney,John,D,MA,House,1
T000468,Titus,Dina,D,NV,House,1
T000465,Tsongas,Niki,D,MA,House,1
V000128,Van Hollen,Chris,D,MD,House,1
V000131,Veasey,Marc,D,TX,House,1
W000215,Waxman,Henry,D,CA,House,1
W000800,Welch,Peter,D,VT,House,1
P000258,Peterson,Collin,D,MN,House,1
P000096,Pascrell,William,D,NJ,House,1
H001050,Hanabusa,Colleen,D,HI,House,1
M001185,Maloney,Sean,D,NY,House,1
B001227,Brady,Robert,D,PA,House,1
R000588,Richmond,Cedric,D,LA,House,1
G000535,Gutierrez,Luis,D,IL,House,1
P000595,Peters,Gary,D,MI,House,1
N000187,Negrete Mcleod,Gloria,D,CA,House,1
K000009,Kaptur,Marcy,D,OH,House,1
R000577,Ryan,Tim,D,OH,House,1
P000034,Pallone,Frank,D,NJ,House,1
M000309,Mccarthy,Carolyn,D,NY,House,1
M001163,Matsui,Doris,D,CA,House,1
B001286,Bustos,Cheri,D,IL,House,1
W000187,Waters,Maxine,D,CA,House,1
T000469,Tonko,Paul,D,NY,House,1
K000385,Kelly,Robin,D,IL,House,1
S001191,Sinema,Kyrsten,D,AZ,House,1
E000293,Esty,Elizabeth,D,CT,House,1
S001180,Schrader,Kurt,D,OR,House,1
C000380,Christensen,Donna,D,VI,House,1
S001190,Schneider,Bradley,D,IL,House,1
F000455,Fudge,Marcia,D,OH,House,1
L000565,Loebsack,David,D,IA,House,1
K000368,Kirkpatrick,Ann,D,AZ,House,1
P000099,Pastor,Ed,D,AZ,House,1
C001067,Clarke,Yvette,D,NY,House,1
D000617,Delbene,Suzan,D,WA,House,1
G000553,Green,Al,D,TX,House,1
H000636,Hinojosa,Ruben,D,TX,House,1
K000375,Keating,William,D,MA,House,1
K000382,Kuster,Ann,D,NH,House,1
L000480,Lowey,Nita,D,NY,House,1
M001166,Mcnerney,Jerry,D,CA,House,1
P000523,Price,David,D,NC,House,1
S000030,Sanchez,Loretta,D,CA,House,1
F000454,Foster,Bill,D,IL,House,1
C001091,Castro,Joaquin,D,TX,House,1
C001069,Courtney,Joe,D,CT,House,1
P000593,Perlmutter,Ed,D,CO,House,1
R000599,Ruiz,Raul,D,CA,House,1
S000248,Serrano,Jose,D,NY,House,1
S001185,Sewell,Terri,D,AL,House,1
C001072,Carson,Andre,D,IN,House,1
H001066,Horsford,Steven,D,NV,House,1
W000799,Walz,Timothy,D,MN,House,1
J000294,Jeffries,Hakeem,D,NY,House,1
D000482,Doyle,Mike,D,PA,House,1
N000002,Nadler,Jerrold,D,NY,House,1
L000557,Larson,John,D,CT,House,1
L000571,Lummis,Cynthia,R,WY,House,1
C001064,Campbell,John,R,CA,House,1
G000552,Gohmert,Louie,R,TX,House,1
S001192,Stewart,Chris,R,UT,House,1
M001177,Mcclintock,Tom,R,CA,House,1
K000378,Kinzinger,Adam,R,IL,House,1
Y000033,Young,Don,R,AK,House,1
J000255,Jones,Walter,R,NC,House,1
H001045,Harper,Gregg,R,MS,House,1
C001075,Cassidy,Bill,R,LA,House,1
C001051,Carter,John,R,TX,House,1
D000619,Davis,Rodney,R,IL,House,1
E000291,Ellmers,Renee,R,NC,House,1
C001047,Capito,Shelley,R,WV,House,1
W000813,Walorski,Jackie,R,IN,House,1
C001096,Cramer,Kevin,R,ND,House,1
P000605,Perry,Scott,R,PA,House,1
G000567,Griffin,Tim,R,AR,House,1
J000290,Jenkins,Lynn,R,KS,House,1
R000598,Rothfus,Keith,R,PA,House,1
B001269,Barletta,Lou,R,PA,House,1
R000053,Rangel,Charles,D,NY,House,1
L000560,Larsen,Rick,D,WA,House,1
L000570,Lujan,Ben,D,NM,House,1
K000381,Kilmer,Derek,D,WA,House,1
P000604,Payne,Donald,D,NJ,House,1
F000043,Fattah,Chaka,D,PA,House,1
L000287,Lewis,John,D,GA,House,1
B001251,Butterfield,G. K.,D,NC,House,1
C001037,Capuano,Michael,D,MA,House,1
G000571,Gabbard,Tulsi,D,HI,House,1
L000397,Lofgren,Zoe,D,CA,House,1
J000032,Jackson Lee,Sheila,D,TX,House,1
P000197,Pelosi,Nancy,D,CA,House,1
M001137,Meeks,Gregory,D,NY,House,1
Q000023,Quigley,Mike,D,IL,House,1
O000170,O'rourke,Beto,D,TX,House,1
C001038,Crowley,Joseph,D,NY,House,1
L000562,Lynch,Stephen,D,MA,House,1
E000292,Enyart,William,D,IL,House,1
S001162,Schwartz,Allyson,D,PA,House,1
J000126,Johnson,Eddie,D,TX,House,1
M001188,Meng,Grace,D,NY,House,1
J000296,Jolly,David,R,FL,House,1
L000578,Lamalfa,Doug,R,CA,House,1
W000816,Williams,Roger,R,TX,House,1
B001256,Bachmann,Michele,R,MN,House,1
A000055,Aderholt,Robert,R,AL,House,1
N000184,Noem,Kristi,R,SD,House,1
C001092,Collins,Chris,R,NY,House,1
S001179,Schock,Aaron,R,IL,House,1
W000812,Wagner,Ann,R,MO,House,1
M001156,Mchenry,Patrick,R,NC,House,1
C000059,Calvert,Ken,R,CA,House,1
Y000063,Yoder,Kevin,R,KS,House,1
G000565,Gosar,Paul,R,AZ,House,1
B000213,Barton,Joe,R,TX,House,1
M001165,Mccarthy,Kevin,R,CA,House,1
R000591,Roby,Martha,R,AL,House,1
E000172,Emerson,Jo,R,MO,House,1
Y000031,Young,C. W.,R,FL,House,1
C000556,Coble,Howard,R,NC,House,1
A000369,Amodei,Mark,R,NV,House,1
W000791,Walden,Greg,R,OR,House,1
S001154,Shuster,Bill,R,PA,House,1
W000672,Wolf,Frank,R,VA,House,1
P000591,Price,Tom,R,GA,House,1
S001187,Stivers,Steve,R,OH,House,1
B001273,Black,Diane,R,TN,House,1
P000265,Petri,Tom,R,WI,House,1
B001244,Bonner,Jo,R,AL,House,1
