bioguideId,last_name,first_name,party,state,chamber,chamber_id,in_113,in_114,in_115
R000146,Reid,Harry,D,NV,Senate,2,1,1,0
L000174,Leahy,Patrick,D,VT,Senate,2,1,1,1
M000639,Menendez,Robert,D,NJ,Senate,2,1,1,1
D000563,Durbin,Richard,D,IL,Senate,2,1,1,1
S000148,Schumer,Charles,D,NY,Senate,2,1,1,1
H001042,Hirono,Mazie,D,HI,Senate,2,1,1,1
S001194,Schatz,Brian,D,HI,Senate,2,1,1,1
B000944,Brown,Sherrod,D,OH,Senate,2,1,1,1
F000062,Feinstein,Dianne,D,CA,Senate,2,1,1,1
C001088,Coons,Christopher,D,DE,Senate,2,1,1,1
G000555,Gillibrand,Kirsten,D,NY,Senate,2,1,1,1
B001277,Blumenthal,Richard,D,CT,Senate,2,1,1,1
K000367,Klobuchar,Amy,D,MN,Senate,2,1,1,1
B000711,Boxer,Barbara,D,CA,Senate,2,1,1,0
L000261,Levin,Carl,D,MI,Senate,2,1,0,0
H001046,Heinrich,Martin,D,NM,Senate,2,1,1,1
S000770,Stabenow,Deborah,D,MI,Senate,2,1,1,1
J000177,Johnson,Tim,D,SD,Senate,2,1,0,0
B000243,Baucus,Max,D,MT,Senate,2,1,0,0
B001267,Bennet,Michael,D,CO,Senate,2,1,1,1
T000464,Tester,Jon,D,MT,Senate,2,1,1,1
C001070,Casey,Bob,D,PA,Senate,2,1,1,1
H000206,Harkin,Thomas,D,IA,Senate,2,1,0,0
H001069,Heitkamp,Heidi,D,ND,Senate,2,1,1,1
D000607,Donnelly,Joe,D,IN,Senate,2,1,1,1
F000457,Franken,Al,D,MN,Senate,2,1,1,1
C000174,Carper,Thomas,D,DE,Senate,2,1,1,1
V000127,Vitter,David,R,LA,Senate,2,1,1,0
W000805,Warner,Mark,D,VA,Senate,2,1,1,1
K000384,Kaine,Timothy,D,VA,Senate,2,1,1,1
C001056,Cornyn,John,R,TX,Senate,2,1,1,1
K000360,Kirk,Mark,R,IL,Senate,2,1,1,0
C001098,Cruz,Ted,R,TX,Senate,2,1,1,1
B000575,Blunt,Roy,R,MO,Senate,2,1,1,1
R000307,Roberts,Pat,R,KS,Senate,2,1,1,1
C000286,Chambliss,Saxby,R,GA,Senate,2,1,0,0
R000584,Risch,James,R,ID,Senate,2,1,1,1
C000542,Coats,Daniel,R,IN,Senate,2,1,1,0
G000359,Graham,Lindsey,R,SC,Senate,2,1,1,1
W000437,Wicker,Roger,R,MS,Senate,2,1,1,1
F000463,Fischer,Deb,R,NE,Senate,2,1,1,1
B001236,Boozman,John,R,AR,Senate,2,1,1,1
C000880,Crapo,Michael,R,ID,Senate,2,1,1,1
I000055,Isakson,Johnny,R,GA,Senate,2,1,1,1
H001061,Hoeven,John,R,ND,Senate,2,1,1,1
R000595,Rubio,Marco,R,FL,Senate,2,1,1,1
P000449,Portman,Rob,R,OH,Senate,2,1,1,1
L000577,Lee,Mike,R,UT,Senate,2,1,1,1
S001184,Scott,Tim,R,SC,Senate,2,1,1,1
H000338,Hatch,Orrin,R,UT,Senate,2,1,1,1
C000560,Coburn,Tom,R,OK,Senate,2,1,0,0
B001135,Burr,Richard,R,NC,Senate,2,1,1,1
A000360,Alexander,Lamar,R,TN,Senate,2,1,1,1
H001041,Heller,Dean,R,NV,Senate,2,1,1,1
P000603,Paul,Rand,R,KY,Senate,2,1,1,1
U000039,Udall,Tom,D,NM,Senate,2,1,1,1
W000802,Whitehouse,Sheldon,D,RI,Senate,2,1,1,1
M000702,Mikulski,Barbara,D,MD,Senate,2,1,1,0
B001261,Barrasso,John,R,WY,Senate,2,1,1,1
S001141,Sessions,Jeff,R,AL,Senate,2,1,1,1
I000024,Inhofe,Jim,R,OK,Senate,2,1,1,1
M001153,Murkowski,Lisa,R,AK,Senate,2,1,1,1
G000386,Grassley,Charles,R,IA,Senate,2,1,1,1
E000285,Enzi,Michael,R,WY,Senate,2,1,1,1
M000303,Mccain,John,R,AZ,Senate,2,1,1,1
J000293,Johnson,Ron,R,WI,Senate,2,1,1,1
F000444,Flake,Jeff,R,AZ,Senate,2,1,1,1
C000567,Cochran,Thad,R,MS,Senate,2,1,1,1
K000383,King,Angus,I,ME,Senate,2,1,1,1
C001035,Collins,Susan,R,ME,Senate,2,1,1,1
S001181,Shaheen,Jeanne,D,NH,Senate,2,1,1,1
S000033,Sanders,Bernard,I,VT,Senate,2,1,1,1
M001176,Merkley,Jeff,D,OR,Senate,2,1,1,1
B001265,Begich,Mark,D,AK,Senate,2,1,0,0
L000123,Lautenberg,Frank,D,NJ,Senate,2,1,0,0
M000133,Markey,Edward,D,MA,Senate,2,1,1,1
L000550,Landrieu,Mary,D,LA,Senate,2,1,0,0
M001183,Manchin,Joe,D,WV,Senate,2,1,1,1
M001111,Murray,Patty,D,WA,Senate,2,1,1,1
P000590,Pryor,Mark,D,AR,Senate,2,1,0,0
T000461,Toomey,Pat,R,PA,Senate,2,1,1,1
H001049,Hagan,Kay,D,NC,Senate,2,1,0,0
J000291,Johanns,Mike,R,NE,Senate,2,1,0,0
A000368,Ayotte,Kelly,R,NH,Senate,2,1,1,0
R000122,Reed,John,D,RI,Senate,2,1,1,1
M000934,Moran,Jerry,R,KS,Senate,2,1,1,1
T000250,Thune,John,R,SD,Senate,2,1,1,1
W000817,Warren,Elizabeth,D,MA,Senate,2,1,1,1
N000032,Nelson,Clarence,D,FL,Senate,2,1,1,1
B001288,Booker,Cory,D,NJ,Senate,2,1,1,1
M001169,Murphy,Christopher,D,CT,Senate,2,1,1,1
C000141,Cardin,Benjamin,D,MD,Senate,2,1,1,1
W000818,Walsh,John,D,MT,Senate,2,1,0,0
C001071,Corker,Bob,R,TN,Senate,2,1,1,1
R000361,Rockefeller,Jay,D,WV,Senate,2,1,0,0
U000038,Udall,Mark,D,CO,Senate,2,1,0,0
M001170,Mccaskill,Claire,D,MO,Senate,2,1,1,1
B001230,Baldwin,Tammy,D,WI,Senate,2,1,1,1
W000779,Wyden,Ron,D,OR,Senate,2,1,1,1
M000355,Mcconnell,Mitch,R,KY,Senate,2,1,1,1
C000127,Cantwell,Maria,D,WA,Senate,2,1,1,1
C001099,Cowan,"William ""Mo""",D,MA,Senate,2,1,0,0
C001100,Chiesa,Jeffrey,R,NJ,Senate,2,1,0,0
S000320,Shelby,Richard,R,AL,Senate,2,1,1,1
K000148,Kerry,John,D,MA,Senate,2,0,0,0
D000618,Daines,Steve,R,MT,Senate,2,0,1,1
C001095,Cotton,Tom,R,AR,Senate,2,0,1,1
C001075,Cassidy,Bill,R,LA,Senate,2,0,1,1
R000605,Rounds,Mike,R,SD,Senate,2,0,1,1
S001198,Sullivan,Dan,R,AK,Senate,2,0,1,1
L000575,Lankford,James,R,OK,Senate,2,0,1,1
C001047,Capito,Shelley,R,WV,Senate,2,0,1,1
G000562,Gardner,Cory,R,CO,Senate,2,0,1,1
P000612,Perdue,David,R,GA,Senate,2,0,1,1
E000295,Ernst,Joni,R,IA,Senate,2,0,1,1
T000476,Tillis,Thomas,R,NC,Senate,2,0,1,1
S001197,Sasse,Ben,R,NE,Senate,2,0,1,1
P000595,Peters,Gary,D,MI,Senate,2,0,1,1
K000393,Kennedy,John,R,LA,Senate,2,0,0,1
Y000064,Young,Todd,R,IN,Senate,2,0,0,1
H001076,Hassan,Margaret,D,NH,Senate,2,0,0,1
C001113,Cortez Masto,Catherine,D,NV,Senate,2,0,0,1
D000622,Duckworth,Tammy,D,IL,Senate,2,0,0,1
H001075,Harris,Kamala,D,CA,Senate,2,0,0,1
V000128,Van Hollen,Chris,D,MD,Senate,2,0,0,1
S001202,Strange,Luther,R,AL,Senate,2,0,0,1
